f_acidente;d_fasedia
333259;Amanhecer
333260;Plena Noite
333261;Plena Noite
333262;Amanhecer
333263;Amanhecer
333264;Pleno dia
333265;Pleno dia
333266;Amanhecer
333268;Amanhecer
333269;Amanhecer
333270;Pleno dia
333271;Pleno dia
333272;Pleno dia
333275;Plena Noite
333276;Pleno dia
333277;Pleno dia
333280;Pleno dia
333281;Pleno dia
333282;Pleno dia
333283;Pleno dia
333284;Pleno dia
333285;Pleno dia
333286;Pleno dia
333287;Pleno dia
333288;Pleno dia
333289;Pleno dia
333290;Pleno dia
333291;Pleno dia
333292;Pleno dia
333295;Pleno dia
333296;Pleno dia
333298;Pleno dia
333299;Pleno dia
333300;Pleno dia
333301;Pleno dia
333302;Pleno dia
333303;Pleno dia
333304;Pleno dia
333305;Pleno dia
333306;Pleno dia
333307;Pleno dia
333308;Pleno dia
333309;Pleno dia
333310;Pleno dia
333311;Pleno dia
333312;Pleno dia
333313;Pleno dia
333315;Pleno dia
333316;Pleno dia
333317;Pleno dia
333318;Pleno dia
333319;Pleno dia
333320;Plena Noite
333321;Pleno dia
333322;Pleno dia
333323;Pleno dia
333325;Pleno dia
333327;Pleno dia
333328;Pleno dia
333329;Pleno dia
333330;Pleno dia
333331;Pleno dia
333332;Pleno dia
333333;Pleno dia
333334;Pleno dia
333335;Pleno dia
333336;Pleno dia
333337;Pleno dia
333339;Pleno dia
333340;Pleno dia
333341;Pleno dia
333342;Pleno dia
333343;Pleno dia
333344;Pleno dia
333345;Pleno dia
333346;Pleno dia
333347;Pleno dia
333348;Pleno dia
333349;Pleno dia
333350;Pleno dia
333351;Pleno dia
333352;Pleno dia
333353;Pleno dia
333354;Pleno dia
333355;Pleno dia
333356;Pleno dia
333358;Pleno dia
333359;Pleno dia
333360;Pleno dia
333361;Anoitecer
333362;Pleno dia
333363;Anoitecer
333364;Pleno dia
333365;Pleno dia
333366;Anoitecer
333368;Pleno dia
333371;Anoitecer
333372;Pleno dia
333373;Pleno dia
333374;Pleno dia
333375;Pleno dia
333376;Pleno dia
333377;Pleno dia
333378;Pleno dia
333379;Pleno dia
333380;Pleno dia
333381;Anoitecer
333382;Anoitecer
333383;Anoitecer
333385;Pleno dia
333386;Plena Noite
333388;Anoitecer
333389;Plena Noite
333390;Pleno dia
333391;Plena Noite
333393;Plena Noite
333394;Plena Noite
333395;Plena Noite
333396;Plena Noite
333397;Plena Noite
333398;Plena Noite
333400;Plena Noite
333402;Plena Noite
333403;Pleno dia
333404;Plena Noite
333406;Plena Noite
333407;Plena Noite
333408;Pleno dia
333409;Plena Noite
333411;Plena Noite
333413;Plena Noite
333415;Pleno dia
333416;Plena Noite
333417;Plena Noite
333418;Plena Noite
333419;Plena Noite
333420;Plena Noite
333422;Plena Noite
